Jrk. nr	Autor	Pealkiri	sarja nimetus	köide	zanr	kirjastus	aasta	kogus	Laenutatud
831	Ivan Papanin	Jääs ja tules			populaarteaduslik	Eesti Raamat	1982		
832	Nikolai Ostrovski	Kuidas karastus teras			romaan	Eesti Riiklik Kirjastus	1952		
833	Vjatseslav J. Siskov	Sünge jôgi		II	romaan	Eesti Riiklik Kirjastus	1960		
834	Vjatseslav J. Siskov	Sünge jôgi		II	romaan	Eesti Riiklik Kirjastus	1960		
835	Lev Tolstoi	Sôda ja rahu		II	romaan	Eesti Riiklik Kirjastus	1962		
836	Lev Tolstoi	Sôda ja rahu		II	romaan	Eesti Riiklik Kirjastus	1962		
837	Georgi Markov	Siber			romaan	Eesti Raamat	1975		
838	Silver Anniko	Rusikad			romaan	Eesti Raamat	1979		
839	Juri Trofimov	Teine elu * Maja kaldapealsel * Vanamees	Nüüdisromaan		romaan	Eesti Raamat	1982		
840	Vil Lipatov	Igor Savvovits			romaan	Eesti Raamat	1986		
841	Vladimir Bogomolov	Neljakümne neljanda augustis…			romaan	Eesti Raamat	1979		
842	Mihhail Koltsov	Hispaania päevik			romaan	Eesti Riiklik Kirjastus	1961		
843	Albert Uustulnd	Avali väraval			romaan	Eesti Raamat	1977		
844	Albert Uustulnd	Meri pôleb			romaan	Eesti Raamat	1969		
845	Albert Uustulnd	Ohtlikud hoovused			romaan	Tormikiri	1998		
846	Albert Uustulnd	Kui jumalad nutsid			romaan	Eesti Raamat	1995		
847	Albert Uustulnd	Rannavälja			romaan	Gtrükk	1997		
848	Albert Uustulnd	Lummav meri	Tuulte tallermaa III		romaan	Eesti Raamat	1994		
849	Albert Uustulnd	Rajud ei rauge	Tuulte tallermaa III		romaan	Eesti Raamat	1994		
850	Albert Uustulnd	Tormid ei taltu	Tuulte tallermaa IV osa I raamat		romaan	Gtrükk	1994		
851	Albert Uustulnd	Hullunud meri	Tuulte tallermaa IV osa II raamat		romaan	Gtrükk	1996		
852	Albert Uustulnd	Tuulte tallermaa	romaanivôistlus 85		romaan	Eesti Raamat	1985		
853	Albert Uustulnd	Tuulte tallermaa II			romaan	Eesti Raamat	1990		
854	Albert Uustulnd	"Meri, mehed ja jumalad"	romaanivôistlus		romaan	Eesti Raamat	1980		
855	Erni Krusten	Noorte südamed I raamat	Kogutud teosed	5	romaan	Eesti Raamat	1977		
856	Erni Krusten	Noorte südamed II raamat	Kogutud teosed	6	romaan	Eesti Raamat	1977		
857	Erni Krusten	Pekside raamat	Kogutud teosed	7	romaan	Eesti Raamat	1978		
